Seward Line  - Chlorophyll-a Results,,,,,,,
10-May,,,,,,,
Norseman II,,,,,,,
Sample_ID,Size_Fraction,Station_Name,Date,CTD_Cast,Depth_m,Chl-a_ug/L,
53,Total,GAK13,5/4/2010,8,40,0.73,
54,Total,GAK13,5/4/2010,8,50,2.26,
225,Total,HB1,5/6/2010,37,0,0.97,
226,Total,HB1,5/6/2010,37,20,6.25,
227,Total,HB1,5/6/2010,37,30,2.78,
228,Total,HB1,5/6/2010,37,40,2.23,
229,Total,HB1,5/6/2010,37,50,1.49,
218,Total,HB2,5/6/2010,36,0,2.21,
219,Total,HB2,5/6/2010,36,20,5.17,
220,Total,HB2,5/6/2010,36,30,2.23,
221,Total,HB2,5/6/2010,36,40,1.37,
222,Total,HB2,5/6/2010,36,50,0.86,
213,Total,HB3,5/6/2010,35,0,2.68,
214,Total,HB3,5/6/2010,35,20,7.74,
215,Total,HB3,5/6/2010,35,30,2.48,
216,Total,HB3,5/6/2010,35,40,1.31,
217,Total,HB3,5/6/2010,35,50,0.8,
209,Total,HB4,5/6/2010,34,0,4.43,
210,Total,HB4,5/6/2010,34,30,1.59,
211,Total,HB4,5/6/2010,34,40,0.87,
212,Total,HB4,5/6/2010,34,50,1.61,
249,Total,KIP2,5/7/2010,42,0,0.8,
250,Total,KIP2,5/7/2010,42,10,2.28,
251,Total,KIP2,5/7/2010,42,20,6.49,
252,Total,KIP2,5/7/2010,42,30,3.37,
253,Total,KIP2,5/7/2010,42,40,0.86,
254,Total,KIP2,5/7/2010,42,50,0.66,
179,Total,MS1,5/6/2010,30,0,1.81,
180,Total,MS1,5/6/2010,30,10,1.78,
181,Total,MS1,5/6/2010,30,20,12.79,
182,Total,MS1,5/6/2010,30,30,7.74,
183,Total,MS1,5/6/2010,30,40,3.98,
184,Total,MS1,5/6/2010,30,50,2.33,
185,Total,MS2,5/6/2010,31,0,1.78,
186,Total,MS2,5/6/2010,31,10,6.43,
187,Total,MS2,5/6/2010,31,20,9.04,
188,Total,MS2,5/6/2010,31,30,3.63,
189,Total,MS2,5/6/2010,31,40,1.24,
190,Total,MS2,5/6/2010,31,50,0.7,
194,Total,MS3,5/6/2010,32,0,7.85,
195,Total,MS3,5/6/2010,32,10,14.7,
196,Total,MS3,5/6/2010,32,20,8.57,
197,Total,MS3,5/6/2010,32,30,1.65,
198,Total,MS3,5/6/2010,32,40,0.7,
199,Total,MS3,5/6/2010,32,50,0.47,
200,Total,MS4,5/6/2010,33,0,9.94,
201,Total,MS4,5/6/2010,33,20,4.24,
202,Total,MS4,5/6/2010,33,30,1.87,
203,Total,MS4,5/6/2010,33,40,0.35,
204,Total,MS4,5/6/2010,33,50,0.47,
237,Total,PWS1,5/7/2010,39,0,0.83,
238,Total,PWS1,5/7/2010,39,10,2.75,
239,Total,PWS1,5/7/2010,39,20,6.25,
240,Total,PWS1,5/7/2010,39,30,2.36,
241,Total,PWS1,5/7/2010,39,40,0.83,
242,Total,PWS1,5/7/2010,39,50,0.59,
230,Total,PWS2,5/7/2010,38,0,2.36,
231,Total,PWS2,5/7/2010,38,20,5.9,
232,Total,PWS2,5/7/2010,38,30,1.33,
233,Total,PWS2,5/7/2010,38,40,0.66,
234,Total,PWS2,5/7/2010,38,50,0.58,
1,Total,RES2.5,5/2/2010,1,0,2.11,
2,Total,RES2.5,5/2/2010,1,10,0.68,
3,Total,RES2.5,5/2/2010,1,20,0.32,
4,Total,RES2.5,5/2/2010,1,30,0.27,
5,Total,RES2.5,5/2/2010,1,40,0.35,
6,Total,RES2.5,5/2/2010,1,50,0.28,
