Seward Line Sep 2010,,,,,,,
Chlorophyll a Concentrations,,,,(nominal),,,
Collection,,,Filter,Depth,Chl (ug/L),,
9/17/2010,GAK09Prod,26,Total,4,0.76,,
9/17/2010,GAK09Prod,26,Total,7,0.83,,
9/17/2010,GAK09Prod,26,Total,13,0.79,,
9/17/2010,GAK09Prod,26,Total,18,0.8,,
9/17/2010,GAK09Prod,26,Total,28,0.63,,
9/17/2010,GAK13Prod,25,Total,0,0.78,,
9/17/2010,GAK13Prod,25,Total,4,0.8,,
9/17/2010,GAK13Prod,25,Total,7,0.81,,
9/17/2010,GAK13Prod,25,Total,13,0.76,,
9/17/2010,GAK13Prod,25,Total,18,0.8,,
9/17/2010,GAK13Prod,25,Total,28,0.65,,
9/19/2010,KIP2Prod,43,Total,0,0.32,,
9/19/2010,KIP2Prod,43,Total,4,0.38,,
9/19/2010,KIP2Prod,43,Total,5,0.66,,
9/19/2010,KIP2Prod,43,Total,11,1.6,,
9/19/2010,KIP2Prod,43,Total,16,1.74,,
9/19/2010,KIP2Prod,43,Total,24,0.95,,
