a,,,,,,
b,,,,,,
c,,,,,,
Station_Name,CTD_Cast,Depth_m,Chl-a_ug/L,total_phaeo,Year,Season
PWS1,45,50,0.115218794,0.153103547,2012,Fall
PWS2,44,0,0.227036985,0.096531289,2012,Fall
PWS2,44,10,0.100986155,0.036079006,2012,Fall
PWS2,44,20,0.2478201,0.140063328,2012,Fall
PWS2,44,30,0.020993761,0.029020687,2012,Fall
PWS2,44,40,0.151142796,0.127501546,2012,Fall
PWS2,44,50,0.097779995,0.124975515,2012,Fall
PWS3,36,0,0.141274015,0.075904261,2012,Fall
PWS3,36,10,1.020845811,0.582159166,2012,Fall
PWS3,36,20,1.038073538,0.545736834,2012,Fall
PWS3,36,30,0.126644816,0.049225418,2012,Fall
PWS3,36,40,0.067520819,0.047737703,2012,Fall
PWS3,36,50,0.046380801,0.057909852,2012,Fall
CG1,35,0,1.78405135,0.358882548,2012,Fall
CG1,35,10,0.51028944,0.205653654,2012,Fall
CG1,35,20,0.222831325,0.174252648,2012,Fall
CG1,35,30,0.078650915,0.064655896,2012,Fall
CG1,35,40,0.06209009,0.108049698,2012,Fall
CG1,35,50,0.036744411,0.044053893,2012,Fall
